wellenlaenge,arbitraer
-0.0000008438,1.84
-0.0000008436,1.81062
-0.0000008434,1.6532
-0.0000008432,1.45039
-0.000000843,1.18945
-0.0000008428,0.98875
-0.0000008426,0.801094
-0.0000008424,0.645469
-0.0000008422,0.54
-0.000000842,0.429063
-0.0000008418,0.341094
-0.0000008416,0.270703
-0.0000008414,0.206484
-0.0000008412,0.136797
-0.000000841,0.0984375
-0.0000008408,0.0408594
-0.0000008406,0.0714844
-0.0000008404,0.0694531
-0.0000008402,0.1
-0.00000084,0.0700781
-0.0000008398,0.0797656
-0.0000008396,0.0500781
-0.0000008394,0.0622656
-0.0000008392,0.0696875
-0.000000839,0.0474219
-0.0000008388,0.0404688
-0.0000008386,0.0592969
-0.0000008384,0.0178125
-0.0000008382,0.0009375
-0.000000838,0.00953125
-0.0000008378,-0.0164062
-0.0000008376,-0.0408594
-0.0000008374,-0.0548437
-0.0000008372,-0.0929687
-0.000000837,-0.0983594
-0.0000008368,-0.111719
-0.0000008366,-0.151953
-0.0000008364,-0.108203
-0.0000008362,-0.07625
-0.000000836,-0.0396094
-0.0000008358,0.0359375
-0.0000008356,0.0703125
-0.0000008354,0.0714063
-0.0000008352,0.112578
-0.000000835,0.151016
-0.0000008348,0.139844
-0.0000008346,0.153047
-0.0000008344,0.17
-0.0000008342,0.158125
-0.000000834,0.150078
-0.0000008338,0.149531
-0.0000008336,0.129766
-0.0000008334,0.100391
-0.0000008332,0.120859
-0.000000833,0.145
-0.0000008328,0.284375
-0.0000008326,0.533594
-0.0000008324,0.882031
-0.0000008322,1.14438
-0.000000832,1.45453
-0.0000008318,1.69219
-0.0000008316,1.77
-0.0000008314,1.83375
-0.0000008312,1.78578
-0.000000831,1.62664
-0.0000008308,1.45805
-0.0000008306,1.20336
-0.0000008304,1.00172
-0.0000008302,0.79
-0.00000083,0.643516
-0.0000008298,0.517422
-0.0000008296,0.405859
-0.0000008294,0.34375
-0.0000008292,0.279063
-0.000000829,0.222266
-0.0000008288,0.168359
-0.0000008286,0.136641
-0.0000008284,0.0844531
-0.0000008282,0.089375
-0.000000828,0.065625
-0.0000008278,0.0663281
-0.0000008276,0.0708594
-0.0000008274,0.0701563
-0.0000008272,0.0682813
-0.000000827,0.0796094
-0.0000008268,0.0647656
-0.0000008266,0.0489844
-0.0000008264,0.0611719
-0.0000008262,0.0321094
-0.000000826,0.0188281
-0.0000008258,0.0301563
-0.0000008256,0.0138281
-0.0000008254,-0.0196094
-0.0000008252,-0.0274219
-0.000000825,-0.0786719
-0.0000008248,-0.0797656
-0.0000008246,-0.108437
-0.0000008244,-0.140078
-0.0000008242,-0.101094
-0.000000824,-0.0896875
-0.0000008238,-0.08125
-0.0000008236,-0.0417187
-0.0000008234,-0.0101562
-0.0000008232,0.0278125
-0.000000823,0.0871094
-0.0000008228,0.108672
-0.0000008226,0.140391
-0.0000008224,0.160078
-0.0000008222,0.169922
-0.000000822,0.149844
-0.0000008218,0.139609
-0.0000008216,0.130234
-0.0000008214,0.15
-0.0000008212,0.138594
-0.000000821,0.0847656
-0.0000008208,0.0820313
-0.0000008206,0.154141
-0.0000008204,0.270391
-0.0000008202,0.479844
-0.00000082,0.831016
-0.0000008198,1.11195
-0.0000008196,1.37
-0.0000008194,1.61641
-0.0000008192,1.79
-0.000000819,1.84063
-0.0000008188,1.81789
-0.0000008186,1.69
-0.0000008184,1.48852
-0.0000008182,1.23914
-0.000000818,1.01219
-0.0000008178,0.838203
-0.0000008176,0.681016
-0.0000008174,0.570078
-0.0000008172,0.458906
-0.000000817,0.362031
-0.0000008168,0.319531
-0.0000008166,0.221094
-0.0000008164,0.158359
-0.0000008162,0.159844
-0.000000816,0.13
-0.0000008158,0.0974219
-0.0000008156,0.0700781
-0.0000008154,0.0901563
-0.0000008152,0.09
-0.000000815,0.0916406
-0.0000008148,0.0690625
-0.0000008146,0.0994531
-0.0000008144,0.0721094
-0.0000008142,0.08
-0.000000814,0.0907813
-0.0000008138,0.0620313
-0.0000008136,0.0399219
-0.0000008134,0.0402344
-0.0000008132,0.00210938
-0.000000813,-0.000078125
-0.0000008128,-0.00710937
-0.0000008126,-0.0579687
-0.0000008124,-0.0902344
-0.0000008122,-0.0703125
-0.000000812,-0.109531
-0.0000008118,-0.108516
-0.0000008116,-0.0900781
-0.0000008114,-0.0890625
-0.0000008112,-0.0332031
-0.000000811,0.0110156
-0.0000008108,0.0197656
-0.0000008106,0.0527344
-0.0000008104,0.0990625
-0.0000008102,0.120547
-0.00000081,0.149688
-0.0000008098,0.190234
-0.0000008096,0.15875
-0.0000008094,0.140703
-0.0000008092,0.16
-0.000000809,0.137891
-0.0000008088,0.119922
-0.0000008086,0.131484
-0.0000008084,0.128438
-0.0000008082,0.120938
-0.000000808,0.240938
-0.0000008078,0.459844
-0.0000008076,0.750156
-0.0000008074,1.07523
-0.0000008072,1.36961
-0.000000807,1.58906
-0.0000008068,1.77992
-0.0000008066,1.81828
-0.0000008064,1.82859
-0.0000008062,1.71734
-0.000000806,1.51117
-0.0000008058,1.2707
-0.0000008056,1.04016
-0.0000008054,0.851406
-0.0000008052,0.693516
-0.000000805,0.563828
-0.0000008048,0.470078
-0.0000008046,0.3725
-0.0000008044,0.302188
-0.0000008042,0.24
-0.000000804,0.150625
-0.0000008038,0.119375
-0.0000008036,0.110859
-0.0000008034,0.0907813
-0.0000008032,0.08
-0.000000803,0.0689844
-0.0000008028,0.0503906
-0.0000008026,0.09
-0.0000008024,0.0910938
-0.0000008022,0.0828906
-0.000000802,0.0665625
-0.0000008018,0.0921875
-0.0000008016,0.025
-0.0000008014,0.0391406
-0.0000008012,0.0110938
-0.000000801,0.031875
-0.0000008008,0.0310156
-0.0000008006,-0.00164062
-0.0000008004,-0.03
-0.0000008002,-0.0505469
-0.0000008,-0.0697656
-0.0000007998,-0.113047
-0.0000007996,-0.119766
-0.0000007994,-0.110625
-0.0000007992,-0.130312
-0.000000799,-0.111328
-0.0000007988,-0.0480469
-0.0000007986,-0.0134375
-0.0000007984,0.0549219
-0.0000007982,0.0916406
-0.000000798,0.103125
-0.0000007978,0.145859
-0.0000007976,0.149922
-0.0000007974,0.151406
-0.0000007972,0.149375
-0.000000797,0.142969
-0.0000007968,0.170156
-0.0000007966,0.142188
-0.0000007964,0.119922
-0.0000007962,0.129063
-0.000000796,0.107969
-0.0000007958,0.126641
-0.0000007956,0.227188
-0.0000007954,0.415
-0.0000007952,0.682031
-0.000000795,1.01648
-0.0000007948,1.3
-0.0000007946,1.55094
-0.0000007944,1.70047
-0.0000007942,1.81859
-0.000000794,1.83969
-0.0000007938,1.72273
-0.0000007936,1.53297
-0.0000007934,1.33945
-0.0000007932,1.0875
-0.000000793,0.867188
-0.0000007928,0.703516
-0.0000007926,0.582109
-0.0000007924,0.504453
-0.0000007922,0.401875
-0.000000792,0.320156
-0.0000007918,0.235703
-0.0000007916,0.202344
-0.0000007914,0.146328
-0.0000007912,0.110938
-0.000000791,0.0885156
-0.0000007908,0.0705469
-0.0000007906,0.07
-0.0000007904,0.079375
-0.0000007902,0.07125
-0.00000079,0.0578906
